M-ce;10km;22km;33km;Cz. netto;Cz. brutto;min/km;km/h
105;01:24:10;03:00:11;04:40:54;06:14:07.350;06:14:39.650;08:18;7.2
106;01:23:06;02:52:13;04:35:04;06:15:00.000;06:15:21.750;08:20;7.2
107;01:23:51;03:01:55;04:49:06;06:15:15.950;06:15:36.450;08:20;7.2
108;01:15:27;02:48:30;04:29:04;06:15:17.050;06:15:39.700;08:20;7.2
109;01:11:35;02:39:10;04:26:45;06:15:38.400;06:15:44.300;08:20;7.2
110;01:30:42;03:08:46;04:45:08;06:15:42.300;06:15:51.600;08:20;7.2
111;01:11:21;02:43:05;04:41:40;06:15:47.950;06:16:12.750;08:21;7.2
112;01:27:02;03:00:15;04:38:17;06:15:58.850;06:16:24.500;08:21;7.2
113;01:21:09;02:55:48;04:41:27;06:16:14.300;06:16:30.400;08:21;7.2
114;01:22:05;02:48:46;04:36:54;06:17:27.050;06:17:37.350;08:23;7.2
115;01:21:19;02:53:41;04:37:03;06:17:45.100;06:18:09.600;08:23;7.1
116;01:25:32;02:59:38;04:42:54;06:18:10.050;06:18:27.700;08:24;7.1
117;01:26:45;03:05:54;04:45:32;06:18:45.100;06:18:58.500;08:25;7.1
118;01:22:13;02:59:58;04:39:59;06:18:56.500;06:19:22.600;08:25;7.1
119;01:20:06;02:54:03;04:38:35;06:19:19.900;06:19:30.800;08:25;7.1
120;01:20:33;02:57:17;04:44:52;06:19:04.350;06:19:36.500;08:25;7.1
121;01:15:28;02:57:25;04:47:13;06:19:48.800;06:20:10.100;08:26;7.1
122;01:20:58;03:02:23;04:47:07;06:20:54.600;06:21:04.650;08:27;7.1
123;01:25:53;03:02:40;04:47:10;06:21:21.100;06:21:30.300;08:28;7.1
124;01:28:03;03:07:49;04:47:08;06:21:37.800;06:22:11.100;08:28;7.1
125;01:28:35;03:09:58;04:51:50;06:23:05.350;06:23:19.950;08:30;7
126;01:24:33;02:58:24;04:47:09;06:22:43.750;06:23:24.200;08:30;7.1
127;01:29:01;02:58:32;04:45:04;06:22:59.950;06:23:24.700;08:30;7
128;01:27:16;02:57:17;04:43:50;06:23:23.150;06:23:57.500;08:31;7
129;01:27:17;02:57:20;04:43:50;06:23:23.900;06:23:57.800;08:31;7
