M-ce;12km;26km;37.8km;Cz. netto;Cz. brutto;min/km;km/h;;;;;;;;;
82;01:01:52;02:43:21;04:25:50;06:31:23.050;06:31:34.350;07:31;8;;;;;;;;;
83;01:02:54;02:45:34;04:30:27;06:31:35.000;06:31:39.900;07:31;8;;;;;;;;;
84;01:06:07;02:54:54;04:38:51;06:34:38.550;06:34:47.350;07:35;7.9;;;;;;;;;
85;01:05:16;02:51:18;04:38:14;06:34:27.000;06:34:49.400;07:35;7.9;;;;;;;;;
86;01:03:57;02:48:28;04:29:34;06:34:26.250;06:34:52.750;07:35;7.9;;;;;;;;;
87;01:03:46;02:43:34;04:31:29;06:35:13.000;06:35:15.700;07:36;7.9;;;;;;;;;
88;01:06:48;02:54:59;04:37:44;06:35:08.650;06:35:17.450;07:35;7.9;;;;;;;;;
89;01:03:33;02:39:12;04:27:02;06:36:03.050;06:36:14.050;07:36;7.9;;;;;;;;;
90;01:05:17;02:52:17;04:38:36;06:36:30.050;06:36:42.350;07:37;7.9;;;;;;;;;
91;01:10:10;02:56:34;04:38:04;06:37:05.250;06:37:14.200;07:38;7.9;;;;;;;;;
92;01:10:20;03:03:09;04:44:25;06:37:52.600;06:37:58.550;07:39;7.8;;;;;;;;;
93;01:08:27;02:59:12;04:41:42;06:38:01.950;06:38:06.250;07:39;7.8;;;;;;;;;
94;01:09:01;02:57:43;04:38:47;06:38:28.200;06:38:38.250;07:39;7.8;;;;;;;;;
95;01:07:51;02:59:19;04:39:07;06:38:46.000;06:39:19.500;07:40;7.8;;;;;;;;;
96;01:07:50;02:59:19;04:40:29;06:39:05.950;06:39:40.100;07:40;7.8;;;;;;;;;
97;01:12:24;03:01:29;04:41:22;06:39:31.400;06:39:49.100;07:41;7.8;;;;;;;;;
98;01:12:25;02:57:59;04:37:01;06:39:17.800;06:39:50.150;07:40;7.8;;;;;;;;;
99;01:05:56;02:50:06;04:36:40;06:40:13.100;06:40:23.400;07:41;7.8;;;;;;;;;
100;01:14:58;03:02:22;04:38:58;06:40:14.350;06:40:28.100;07:41;7.8;;;;;;;;;
101;01:06:54;02:54:55;04:38:57;06:40:02.900;06:40:35.300;07:41;7.8;;;;;;;;;
102;01:02:55;02:38:10;04:24:56;06:40:19.850;06:40:38.450;07:41;7.8;;;;;;;;;
103;01:04:43;02:53:21;04:38:07;06:40:21.700;06:40:42.600;07:41;7.8;;;;;;;;;
104;01:04:34;02:53:02;04:38:24;06:40:37.100;06:40:47.900;07:42;7.8;;;;;;;;;
105;01:03:17;02:48:10;04:38:29;06:40:16.950;06:40:51.700;07:41;7.8;;;;;;;;;
106;01:07:41;02:52:27;04:36:40;06:41:44.200;06:41:54.100;07:43;7.8;;;;;;;;;
107;01:04:40;02:52:43;04:41:43;06:41:59.950;06:42:07.350;07:43;7.8;;;;;;;;;
108;01:08:33;03:02:39;04:49:56;06:42:27.400;06:42:38.550;07:44;7.8;;;;;;;;;
109;01:10:05;03:03:39;04:41:16;06:44:05.000;06:44:15.000;07:46;7.7;;;;;;;;;
110;01:12:23;02:55:08;04:44:40;06:43:56.750;06:44:24.100;07:46;7.7;;;;;;;;;
111;01:11:55;03:04:58;04:47:14;06:44:21.400;06:44:34.550;07:46;7.7;;;;;;;;;
112;01:07:14;02:48:05;04:36:00;06:44:25.750;06:44:46.250;07:46;7.7;;;;;;;;;
113;01:10:40;03:01:25;04:45:09;06:44:51.650;06:45:17.050;07:47;7.7;;;;;;;;;
114;01:04:15;02:58:08;04:45:04;06:45:18.450;06:45:25.450;07:47;7.7;;;;;;;;;
115;01:09:14;03:00:57;04:45:18;06:45:17.850;06:45:26.850;07:47;7.7;;;;;;;;;
116;01:09:13;03:00:57;04:45:12;06:45:18.050;06:45:27.250;07:47;7.7;;;;;;;;;
117;01:03:33;02:44:09;04:36:20;06:45:12.800;06:45:37.200;07:47;7.7;;;;;;;;;
