Id;5km;10km;15km;19.9km;Cz. netto;min/km;km/h;;;;;;;;
104;00:21:58;00:43:47;01:05:17;01:28:18;01:34:26.800;04:28;13.4;;;;;;;;
105;00:21:35;00:43:41;01:05:45;01:28:25;01:34:24.150;04:28;13.4;;;;;;;;
106;00:21:20;00:42:59;01:05:00;01:28:17;01:34:29.300;04:28;13.4;;;;;;;;
107;00:21:09;00:42:09;01:04:06;01:28:05;01:34:33.750;04:28;13.4;;;;;;;;
108;00:20:13;00:40:45;01:01:18;01:22:46;01:28:22.100;04:11;14.3;;;;;;;;
109;00:22:00;00:44:16;01:05:46;01:27:56;01:34:03.600;04:27;13.5;;;;;;;;
110;00:21:54;00:43:52;01:05:47;01:28:47;01:34:39.200;04:29;13.4;;;;;;;;
111;00:21:32;00:43:40;01:05:50;01:28:48;01:34:42.800;04:29;13.4;;;;;;;;
112;00:21:22;00:42:52;01:04:45;01:28:13;01:34:47.100;04:29;13.4;;;;;;;;
113;00:21:57;00:44:15;01:06:07;01:28:50;01:34:49.050;04:29;13.4;;;;;;;;
114;00:22:34;00:44:16;01:05:40;01:28:03;01:34:05.600;04:27;13.5;;;;;;;;
115;00:21:18;00:42:58;01:04:58;01:28:40;01:34:57.750;04:30;13.3;;;;;;;;
116;00:21:34;00:43:42;01:05:45;01:28:51;01:34:56.500;04:29;13.3;;;;;;;;
117;00:22:15;00:44:30;01:06:16;01:29:00;01:34:50.300;04:29;13.3;;;;;;;;
118;00:22:20;00:44:27;01:06:28;01:29:04;01:34:42.850;04:29;13.4;;;;;;;;
119;00:21:59;00:44:12;01:06:07;01:29:11;01:35:00.700;04:30;13.3;;;;;;;;
120;00:23:26;00:45:56;01:07:36;01:29:46;01:34:58.650;04:30;13.3;;;;;;;;
121;00:22:05;00:44:17;01:06:16;01:29:04;01:35:00.650;04:30;13.3;;;;;;;;
122;00:21:09;00:43:03;01:05:31;01:29:17;01:35:17.950;04:30;13.3;;;;;;;;
123;00:21:54;00:44:12;01:06:18;01:29:29;01:35:23.800;04:31;13.3;;;;;;;;
124;00:21:54;00:44:13;01:06:18;01:29:29;01:35:24.400;04:31;13.3;;;;;;;;
125;00:23:00;00:44:59;01:06:41;01:29:05;01:35:10.350;04:30;13.3;;;;;;;;
126;00:22:47;00:45:14;01:06:59;01:29:38;01:35:20.850;04:31;13.3;;;;;;;;
127;00:21:55;00:44:13;01:06:26;01:29:31;01:35:32.400;04:31;13.3;;;;;;;;
128;00:21:39;00:44:00;01:06:13;01:29:19;01:35:37.300;04:31;13.2;;;;;;;;
129;00:21:57;00:44:42;01:07:01;01:29:43;01:35:31.900;04:31;13.3;;;;;;;;
130;00:21:57;00:44:42;01:07:01;01:29:42;01:35:32.150;04:31;13.3;;;;;;;;
131;00:22:39;00:45:16;01:07:17;01:29:32;01:35:34.450;04:31;13.2;;;;;;;;
132;00:21:10;00:43:38;01:06:15;01:29:28;01:35:41.650;04:32;13.2;;;;;;;;
133;00:21:10;00:43:14;01:05:28;01:29:11;01:35:43.100;04:32;13.2;;;;;;;;
134;00:22:04;00:44:50;01:07:03;01:29:50;01:35:47.050;04:32;13.2;;;;;;;;
135;00:21:41;00:43:33;01:05:26;01:29:24;01:35:50.700;04:32;13.2;;;;;;;;
136;00:23:02;00:45:15;01:07:16;01:29:41;01:35:44.450;04:32;13.2;;;;;;;;
137;00:22:09;00:44:22;01:06:16;01:29:33;01:35:52.000;04:32;13.2;;;;;;;;
138;00:21:43;00:43:49;01:06:28;01:29:41;01:35:56.000;04:32;13.2;;;;;;;;
139;00:21:56;00:44:11;01:06:30;01:29:31;01:35:34.100;04:31;13.2;;;;;;;;
140;00:22:15;00:44:49;01:07:30;01:30:19;01:36:08.700;04:33;13.2;;;;;;;;
141;00:22:11;00:44:18;01:06:29;01:29:44;01:35:37.850;04:31;13.2;;;;;;;;
